Team Name,Discord 1,Discord 2,Discord 3,Discord 4
Nomads,Kanye#7684,Cheemss#6641,Minney#5972,chehakkkkk#1196
PK,jai#8319,Smiti#8879,Harshit #2120,Prakhar Khanna#3838
Back Benchers,specific conductance#1574,KJ#7318,Shay#4726,BLACKPINK#7014
Cosmics,beast#8168,RamRahim#6567,hrk#3837,
prajan,tejasvi,dont use,dont use,
Team,Samarth.jain21#0889,_whyshoulditell_#2159,_Ghost~#5943,GS#9146
Budding Bizz,Gurcharan#8954,Radhika Agrawal#8850,Noor#5679,Martin Kaushal#8248
Entrepreneurs in making,Daksh,Inaayat_Goyal,ridhhi,Anubhav
ShareKhan,Sarthak Chandna#4023,khushi jain#3613,Ishaan#0254,Reet Kubba#3002
Alpha_Q,Param#0718,kabir#0646,ym#2488,ERROR404#1249
Team aaargued,Aaryan_sethi#8213,Arshiya_kaur#5518,devanshi arora#4362,Gurkirat_Singh#6366
Peaky blinders,Aryaman#4233,Apoorv Saxena #8639,aryan_supercool#9237,Arshia#1840
Team Alpha,ABC12345#3836,papaaya#0288,Angad Bains#0253,axiS#8426
The Elites,Simran#7451,Mahika#2203,SHREYA#7170,Suyash_mohanty#2328
Bijness,Iamtom,Simran Bhalla(P),Akshit Kathuria,Silver lightning
Dolce Fonyente,DRAKULLAAA#3883,Harshita Singh#3765,ManasviPrakash#7710,Saksham#5551
men of genius,maqbool#0200,lucifer019,im_pranaygupta,
Modi paltan,Lakshay#8491,aditya798#1382,Its Atom#8221,
The Marauders,Resorstic#4720,pratham#0732,akshita#0232,vasu#5786
The Twisted Minds,7.74098E+17,7.56138E+17,7.60188E+17,
tietans,manasBansal,loveneesh garg#7460,pgoyal,
Oppai,pewwsh#6269,Maniax#2351,utkarsh_us7#1563,
Capitalist crew,kartikmadan26#5771,Akhandvaibhavsingh#6640,Chiragarora#4829,
stonks,raghav goel#2521,cursingninja#4940,OrangeFog#9597,hks#1213
Cold Hustlers,P.B.#7953,Emmas#7908,Nafs#0009,
Excess,Arnav#4253,Ronit#6523,PalakModi#0694,
TRADE STARS,paavan#5052,Hiten Narang#5099,ashumittal#8704,lucifier07#4549
Champions,#0832,#2672,#6784,#3118
Black Ops,Ishaan_talwar#7008,Pranjal#0807,Prakhar999#8354,Ayushman Bedi#2377
Bass Monopoly,ARJUN#2208,Saloni#1496,Brahm#5500,Saksham Grover#0685
Soaring Bulls,Omisha Gupta#1872,Platypus#3522,Anirudh#3824,RaghavAggarwal#1237
Chanakya,Ritwik#8422,Majin Vageta#8632,bhavyaVij#5514,yashvardhan#9874
Black Storm,Sk#6707,AD#4612,ALPHA2002#1500,ishaan1850#5450
The boizz,lamenavigator#8305,Abj#8390,noshit#1687,aditya7421#7927
Amigos,Modi#0997,MJ06#2638,Ishaan Bhola#7153,
Squaders,taruna jain#8984,riya#2383,akshita#2345,anshika#1234
Merchant of Venice,Bakul Gupta#5727,Niket Jindal#5330,arjun rai#5687,
Biznautics,govinda,Naman,wishdumb,
Visnautics,govinda,naman,wishdumb,ishan
HeroHonda,Akshat Gupta#8501,gazal26#2384,Ruzzic#2886,
Amigos1,ishita nagpal#2540,chhavi#093,swati#0291,
